timestamp,open,high,low,close,volume,trade_count,vwap,symbol
2021-04-12 04:00:00+00:00,168.69,169.81,167.69,168.33,1289382,12627,168.490242,ZBH
2021-04-13 04:00:00+00:00,167.49,169.14,167.18,168.47,876859,11954,168.092535,ZBH
2021-04-14 04:00:00+00:00,168.91,170.525,168.06,168.31,892191,16969,169.249714,ZBH
2021-04-15 04:00:00+00:00,168.6,172.34,168.6,171.76,933507,12861,171.605692,ZBH
2021-04-16 04:00:00+00:00,172.74,173.22,170.38,171.88,711084,10832,171.63212,ZBH
2021-04-19 04:00:00+00:00,171.92,173.025,170.08,172.53,1091216,12721,172.028744,ZBH
2021-04-20 04:00:00+00:00,172.53,175.18,172.22,173.81,1161449,18748,173.572103,ZBH
2021-04-21 04:00:00+00:00,174.04,177.45,173.37,176.65,1086674,15114,176.363933,ZBH
2021-04-22 04:00:00+00:00,176.58,179.19,175.46,177.38,1007166,13446,177.595082,ZBH
2021-04-23 04:00:00+00:00,177.02,178.87,176.49,177.62,908031,12829,177.838977,ZBH
2021-04-26 04:00:00+00:00,178.21,178.21,175.47,175.72,819609,11844,176.505119,ZBH
2021-04-27 04:00:00+00:00,175.83,177.75,174.56,176.35,811995,11251,176.788277,ZBH
2021-04-28 04:00:00+00:00,176.64,178.64,175.82,178.5,974844,13693,177.583273,ZBH
2021-04-29 04:00:00+00:00,179.25,180.36,177.06,178.61,886321,14992,178.505244,ZBH
2021-04-30 04:00:00+00:00,178.09,178.45,176.08,177.16,1287292,17947,176.988999,ZBH
2021-05-03 04:00:00+00:00,178.5,178.76,176.98,177.94,1288025,20055,177.726896,ZBH
2021-05-04 04:00:00+00:00,160.29,176.06,170.12,172.93,1732452,24093,172.537891,ZBH
2021-05-05 04:00:00+00:00,173.73,174.77,171.03,173.55,995001,16680,173.161551,ZBH
2021-05-06 04:00:00+00:00,173.04,173.69,169.75,173.23,748712,11965,172.261779,ZBH
2021-05-07 04:00:00+00:00,173.03,174.84,172.31,172.49,989355,13998,173.316731,ZBH
2021-05-10 04:00:00+00:00,172.66,173.18,171.24,171.95,1157129,20288,172.296117,ZBH
2021-05-11 04:00:00+00:00,171.71,171.84,167.07,167.55,1402962,20779,168.324596,ZBH
2021-05-12 04:00:00+00:00,166.08,166.98,163.65,163.77,1425588,21209,164.847409,ZBH
2021-05-13 04:00:00+00:00,164.07,166.42,164.07,165.63,1117995,15521,165.481925,ZBH
2021-05-14 04:00:00+00:00,166.16,168.49,165.25,167.27,563648,10996,167.530432,ZBH
2021-05-17 04:00:00+00:00,166.84,167.35,165.49,165.81,598734,11292,166.244428,ZBH
2021-05-18 04:00:00+00:00,165.77,167.74,165.74,166.54,862741,14414,167.064099,ZBH
2021-05-19 04:00:00+00:00,165.05,165.88,163.81,165.76,738453,12594,165.244744,ZBH
2021-05-20 04:00:00+00:00,165.82,167.66,165.42,166.93,767960,12764,166.874454,ZBH
2021-05-21 04:00:00+00:00,168.0,169.51,167.13,167.32,824417,14433,168.008491,ZBH
2021-05-24 04:00:00+00:00,168.62,169.04,167.61,167.86,783540,12169,168.027595,ZBH
2021-05-25 04:00:00+00:00,168.78,169.51,167.42,167.76,633627,11495,168.097818,ZBH
2021-05-26 04:00:00+00:00,166.68,167.13,163.075,164.18,1383491,20454,164.270935,ZBH
2021-05-27 04:00:00+00:00,165.0,167.925,164.52,167.63,1839514,19099,166.666163,ZBH
2021-05-28 04:00:00+00:00,168.94,169.52,167.78,168.33,1366969,15655,168.418519,ZBH
2021-06-01 04:00:00+00:00,169.47,169.98,165.99,166.22,914973,14368,166.983933,ZBH
2021-06-02 04:00:00+00:00,166.1,166.2,160.29,161.06,1920047,26364,161.818382,ZBH
2021-06-03 04:00:00+00:00,160.38,160.85,157.9,159.94,1992247,26444,159.456279,ZBH
2021-06-04 04:00:00+00:00,160.77,160.77,158.96,159.13,2068632,25712,159.557643,ZBH
